Study Title,Status,Date of publication,DOI,Affiliation,Country of 1st author,Source of funding,Registration,Registration database,Protocol,Number of database(s),Database(s) name(s),Database(s) structured,Type of database,Database(s) country(s),Aim of study,Causal contrast,Number of primary outcome(s),Name of primary outcome(s),Type of primary outcome(s),Number of interventional arm(s),Number of control(s),Medical speciality,Name of primary (first) intervention,Type of intervention,ATC class,Comparator type,Comparator name,Study design,Statistical design,Sample size,High-dimensional method,Validation study,Position of the 1st/main hdPS analysis,Number of data dimensions,Temporal window,Included dimensions,Other dimensions,Diagnoses coding system,Procedures coding system,Drugs coding system,Granularity of codes,Other granularity,Prevalence filter,Number of most prevalent codes,Recurrence assessment,Covariates prioritization method,Number of predefined covariates,Number of prioritized covariates,Inclusion of post-baseline predefined covariates,Model used for building PS,Other model,Trimming,PS score main use,PS score other use,Additional variables used for,Reported list of included hdPS variables,Main or first intervention effect model,"Intervention, nb of eligible patients","Control, nb of eligible patients",Exclusion of eligible patients in the analysis,Use of a flowchart,"Intervention, nb of patients analyzed","Control, nb of patients analyzed",Reporting of crude analysis,Diagnostics for differences,hdPS specific sensitivity analysis,hdPS specific diagnostics,Investigator excluded variables,Transparency of hdPS reporting,Comparison with other methods (non hdPS),Method details,"Other, details",Use of a reporting guideline,Availability of code,Availability of data,Statistical software used,Aim ROBINS,Results assessed ROBINS,Bias due to confounding,Bias in selection of participants,Bias in classification of interventions,Bias due to deviations from intended interventions,Bias due to missing data,Bias in measurement of outcomes,Bias in selection of the reported result,Overall bias
5α-Reductase Inhibitors and the Risk of Cancer-Related Mortality in Men With Prostate Cancer,Done,1/6/2015,10.1001/jamaoncol.2015.0387,Yes,Canada,Public,Not reported,,Mentioned but not available,1, National Cancer Data Repository (NCDR) + CPRD + HES + ONS,CPRD (+HES),Both linked,UK,Safety,ITT,1,prostate cancer-specific mortality,Time to event,1,1,Urology, 5α-Reductase Inhibitors,Pharmacological,G04CB,Standard care,Unexposed,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,3,365,"Outpatient prescriptions,Outpatient diagnoses,Hospitalizations (all),Lab records (all)","general practice–related variables (such as diagnoses, laboratory tests, and immunizations) / drug prescriptions /  hospitalizations.","Read Codes,ICD-10",,Other,,,,,Schneeweiss citation,Schneeweiss citation,11,50,No,Logistic regression,,Yes,Adjustment on deciles (stratification),,No additional variables used with/before/after hdPS,No,Cox regression,574,13318,Yes,Yes,574,12848,Yes,C-statistic,,,Yes,"Specify data dimensions,Specify software,Specify total number of covariates included",Yes,Propensity score with predefined variables,,Not reported,Not reported,Not reported,SAS,Assignment (ITT),HR 0.90,Moderate,Low,Low,Low,Low,Low,NI,Moderate
A Comparison of Confounding Adjustment Methods for Assessment of Asthma Controller Medication Effectiveness,Done,23/1/2014,10.1093/aje/kwt323,Yes,USA,Public,Not reported,,Not reported,2,TennCare / Commercial Health Plans,"Medicaid or Medicare,Other US commercial",PCD,USA,Efficacy,Per-protocol,1,"Composite of asthma-related ED visit, asthma-related hospitalization, dispensing of an oral corticosteroid",Time to event,1,1,Pulmonary Medicine,leukotriene antagonists,Pharmacological,R03DC,Active comparator,inhaled corticosteroids,New-user design,Not reported,Not reported,hdPS,No,Secondary analysis,7,,"Inpatient diagnoses,Inpatient procedures (including tests),Outpatient diagnoses,Outpatient procedures (including tests),Outpatient drug dispensation",ED diagnosis / ED procedures,,Not reported,Not reported,,,,,Schneeweiss citation,Association with outcome,13,,No,Logistic regression,,No,Adjustment,,No additional variables used with/before/after hdPS,No,Cox regression,1286,13505,Unclear,No,,,No,Standardized Difference,,PS distribution plots,Not reported,"Specify data dimensions,Specify covariate priorisation method,Specify software",Yes,"Propensity score with predefined variables,Multivariable analysis on predefined variables",,Not reported,Not reported,Not reported,SAS,Starting and adhering (PP),HR 1.26,Moderate,Low,Low,Moderate,NI,Low,NI,Moderate
A population-based study of the risk of osteoporosis and fracture with dutasteride and finasteride,Done,22/5/2018,10.1186/s12891-018-2076-9,Yes,Canada,Public,Not reported,,Not reported,1,ICES,Ontario health databases,PCD,Canada,Safety,Per-protocol,1,new diagnosis of osteoporosis,Time to event,1,1,Rheumatology,dutasteride,Pharmacological,G04CB02,Active comparator,finasteride,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,7,1095,"Outpatient drug dispensation,Inpatient diagnoses,Medical encounters,Inpatient procedures (including tests)",emergency diagnoses / emergency procedures ,,,,,,Yes,200,Schneeweiss citation,Schneeweiss citation,5,500,No,Schneeweiss citation,,Not reported,Matching,,To adjust after hdPS matching/weighting,No,Cox regression,,,Unclear,No,,,No,Standardized Difference,,,Not reported,"Specify data dimensions,Specify total number of covariates included,Specify software",Yes,Negative controls,,Not reported,Not reported,Not reported,SAS,Starting and adhering (PP),HR 0.90,Moderate,Low,Low,Serious,NI,Low,NI,Serious
Acute renal failure in patients treated with dronedarone or amiodarone: a large population-based cohort study in Italy,Done,15/7/2015,10.1007/s00228-015-1903-2,Unclear,Italy,Public,Not reported,,Not reported,2,Lombardy claims database / Emilia-Romagna claims database,Other,PCD,Italy,Safety,ITT,1,acute renal failure,Time to event,1,1,Cardiology,Dronedarone,Pharmacological,C01BD07,Active comparator,Amiodarone,New-user design,Not reported,Not reported,hdPS,No,Secondary analysis,,240,Unclear,,,,,,,,,Schneeweiss citation,Schneeweiss citation,,,No,Schneeweiss citation,,Not reported,Matching,,No additional variables used with/before/after hdPS,No,Cox regression,1761,54978,Yes,Yes,,,Yes,Not reported,,,Not reported,Specify software,Yes,Propensity score with predefined variables,,Not reported,Not reported,Not reported,SAS,Assignment (ITT),HR 0.83,Moderate,Low,Low,Low,NI,Low,NI,Moderate
Adverse cardiovascular events during treatment with glyburide (glibenclamide) or gliclazide in a high-risk population,Done,22/8/2012,10.1111/j.1464-5491.2012.03772.x,Yes,Canada,Public,Not reported,,Not reported,1,OHIP + DAD + RPD + NACRS,Ontario health databases,PCD,Canada,Safety,ITT,1,Compose of death from any cause or hospitalization for acute myocardial infarction or congestive heart failure,Time to event,1,1,Diabetology,Glyburide,Pharmacological,A10BB01,Active comparator,Gliclazide,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,7,1095,"Outpatient drug dispensation,Outpatient diagnoses,Inpatient diagnoses,Inpatient procedures (including tests)","physician claims, emergency diagnoses and procedures",ICD-10,Not reported,Not reported,,,Yes,200,Schneeweiss citation,Schneeweiss citation,,500,No,Schneeweiss citation,,Not reported,Matching,,"To match with the hdPS,To adjust after hdPS matching/weighting",No,Cox regression,4554,1386,Yes,No,1690,984,No,Standardized Difference,,,Not reported,"Specify data dimensions,Specify total number of covariates included",Yes,Negative controls,,Not reported,Not reported,Not reported,Not reported,Assignment (ITT),HR 1.01,Moderate,Serious,Low,Low,NI,Low,NI,Serious
Alpha-Blocker Use and the Risk of Hypotension and Hypotension-Related Clinical Events  in Women of Advanced Age,Done,3/6/2019,10.1161/HYPERTENSIONAHA.119.13289,Yes,Canada,Public,Not reported,,Not reported,1,Institute for Clinical Evaluative Sciences,Ontario health databases,PCD,Canada,Safety,"ITT,Per-protocol",1,hypotension and hypotension-related events,Time to event,1,1,Nephrology,Alpha-Blocker,Pharmacological,C02CA,Standard care,Unexposed,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,6,,"Outpatient drug dispensation,Outpatient diagnoses,Inpatient diagnoses,Inpatient procedures (including tests),Medical encounters",,"ICD-10,ICD-9",,Generic drug names,"3 digit ICD,Generic drug name",,,,Schneeweiss citation,Bross formula,,201,No,Schneeweiss citation,,Not reported,Matching,,To match with the hdPS,Yes,Cox regression,14222,720685,Yes,Yes,14106,14106,No,Standardized Difference,,,Not reported,"Specify data dimensions,Description parameters for feature generation,Specify covariate priorisation method,Specify software,Specify total number of covariates included",No,,,RECORD,Not reported,Not reported,SAS,Assignment (ITT),HR 1.10,Moderate,Low,Low,Low,NI,Low,NI,Moderate
Analyzing intent-to-treat and per-protocol effects on safety outcomes using a medical information database: an application to the risk assessment of antibiotic-induced liver injury,Done,25/9/2018,10.1080/14740338.2018.1528224,Yes,Japan,Public,Not reported,,Not reported,1,University of Tokyo Hospital,Other,Hospital database,Japan,Safety,"ITT,Per-protocol",1,liver injury,Time to event,1,1,Infectious Disease Medicine,macrolides,Pharmacological,J01FA ,Standard care,Unexposed,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,2,,"Inpatient prescriptions,Inpatient diagnoses",,ICD-10,,Other,"3 digit ICD,Other",4 digits NHIDC,Yes,100,"""Once, sporadic, frequent""",Bross formula,4,100,No,Logistic regression,,Yes,Weighting,Adjustment on deciles (stratification),No additional variables used with/before/after hdPS,No,Cox regression,11396,53213,Yes,Yes,,,Yes,"C-statistic,Standardized Difference",,PS distribution plots,Not reported,"Specify data dimensions,Description parameters for feature generation,Describe feature recurrence assessment method,Specify covariate priorisation method,Specify total number of covariates included,Describe results of diagnostics and sensitivity analysis,Specify software",No,,,Not reported,Not reported,Not reported,SAS,Starting and adhering (PP),HR 1.22,Moderate,Serious,Low,Low,NI,Serious,NI,Serious
Antibiotic Exposure in the First Year of Life and the Risk of Attention-Deficit/ Hyperactivity Disorder: A Population-Based Cohort Study,Done,1/11/2019,10.1093/aje/kwz178,Yes,Canada,Public,Not reported,,Not reported,1,Manitoba Population Research Data Repository,Other canadian databases,EMR / Registry,Canada,Safety,ITT,1,ADHD diagnosis,Time to event,1,1,Infectious Disease Medicine,Antibiotic- Exposed,Pharmacological,J01,Standard care,Unexposed,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,10,365,"Inpatient diagnoses,Inpatient procedures (including tests),Outpatient diagnoses,Outpatient procedures (including tests),Outpatient drug dispensation",,,,,,,Yes,200,"""Once, sporadic, frequent""",Bross formula,15,500,No,Schneeweiss citation,,Not reported,Matching,,To match with the hdPS,No,Cox regression,84424,103181,Yes,Yes,34869,34869,Yes,Standardized Difference,,,Not reported,"Specify data dimensions,Describe feature recurrence assessment method,Specify covariate priorisation method,Specify total number of covariates included,Specify software",Yes,Other,sibling cohort,Not reported,Not reported,Not reported,SAS,Assignment (ITT),HR 1.02,Moderate,Low,Low,Low,NI,Low,NI,Moderate
Antidepressant Use Late in Pregnancy and Risk of Persistent Pulmonary Hypertension of the Newborn,Done,2/6/2015,10.1001/jama.2015.5605,Yes,USA,Public,Not reported,,Not reported,1,Medicaid,Medicaid or Medicare,PCD,USA,Safety,ITT,1,Persistent pulmonary hypertension of the newborn,Binary,2,1,Psychiatry,SSRI,Pharmacological,N06AB,Standard care,Unexposed,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,,,,,,,,,,,,Schneeweiss citation,Schneeweiss citation,31,200,Unclear,Logistic regression,,Yes,Stratification,,No additional variables used with/before/after hdPS,No,Logistic regression,102179,3660380,Yes,No,65316,657515,Yes,"Standardized Difference,C-statistic",,,Yes,"Specify total number of covariates included,Specify software",Yes,Propensity score with predefined variables,,Not reported,Not reported,Not reported,SAS,Starting and adhering (PP),OR 1.10,Serious,Serious,Low,Serious,NI,Low,NI,Serious
Antidepressants and the risk of death in older patients with depression: A population-based cohort study,Done,15/4/2019,10.13 71/journal.pone.0215289,Yes,Germany,Public,Not reported,,Not reported,1,GePaRD,GePaRD,PCD,Germany,Safety,Per-protocol,1,Death,Time to event,12,1,Psychiatry,escitalopram,Pharmacological,N06A,Active comparator,citalopram,New-user design,Not reported,Not reported,hdPS,No,Sensitivity analysis,6,,"Outpatient drug dispensation,Medical encounters,Outpatient diagnoses,Inpatient diagnoses,Inpatient procedures (including tests),Outpatient procedures (including tests)",,ICD-10,,ATC,,,,,Schneeweiss citation,Schneeweiss citation,57,500,No,Schneeweiss citation,,Yes,Adjustment,,No additional variables used with/before/after hdPS,No,Cox regression,,,,,,,No,Not reported,,,Not reported,"Specify data dimensions,Specify total number of covariates included,Specify software",Yes,Multivariable analysis on predefined variables,,Not reported,Not reported,On demand,SAS,Starting and adhering (PP),HR 0.96,Moderate,Low,Low,Serious,NI,Low,NI,Serious
